MODUL
MSR310220

CHANNEL
TIME;ACC x;ACC y;ACC z;BAT

UNIT
;g;g;g;V

DATA
19.10.2015 10:02:46.049;-0.516;-0.016;0.869;
19.10.2015 10:02:47.049;-0.516;-0.016;0.934;
19.10.2015 10:02:48.049;-0.516;-0.016;0.902;
19.10.2015 10:02:49.049;-0.516;-0.016;0.902;
19.10.2015 10:02:50.049;-0.516;-0.016;0.902;
19.10.2015 10:02:51.049;-0.516;-0.016;0.902;
19.10.2015 10:02:52.049;-0.516;-0.016;0.902;
19.10.2015 10:02:53.049;-0.516;-0.016;0.902;
19.10.2015 10:02:54.049;-0.516;-0.016;0.902;
19.10.2015 10:02:55.049;-0.516;-0.016;0.902;
19.10.2015 10:02:56.049;-0.516;-0.016;0.934;
19.10.2015 10:02:57.049;-0.516;-0.016;0.869;
19.10.2015 10:02:58.049;-0.516;-0.016;0.902;
19.10.2015 10:02:59.049;-0.516;-0.016;0.902;
19.10.2015 10:03:00.049;-0.516;-0.016;0.869;
19.10.2015 10:03:01.049;-0.516;-0.016;0.869;
19.10.2015 10:03:02.049;-0.516;-0.016;0.869;
19.10.2015 10:03:03.049;-0.516;-0.016;0.902;
19.10.2015 10:03:04.049;-0.516;-0.016;0.902;
19.10.2015 10:03:05.049;-0.516;-0.016;0.902;
19.10.2015 10:03:06.049;-0.516;-0.016;0.869;
19.10.2015 10:03:07.049;-0.484;-0.016;0.902;
19.10.2015 10:03:08.049;-0.516;-0.016;0.902;
19.10.2015 10:03:09.049;-0.516;-0.048;0.869;
19.10.2015 10:03:10.049;-0.516;-0.016;0.902;
19.10.2015 10:03:11.049;-0.548;-0.016;0.869;
19.10.2015 10:03:12.049;-0.516;-0.016;0.902;
19.10.2015 10:03:13.049;-0.484;-0.016;0.902;
19.10.2015 10:03:14.049;-0.516;-0.016;0.902;
19.10.2015 10:03:15.049;-0.484;-0.016;0.869;
19.10.2015 10:03:16.049;-0.516;-0.016;0.869;
19.10.2015 10:03:17.049;-0.516;-0.016;0.869;
19.10.2015 10:03:18.049;-0.516;-0.016;0.902;
19.10.2015 10:03:19.049;-0.516;-0.016;0.902;
